Name,Contact Number,Website
gamma Medicine,+90 342 502 47 77,http://www.gamatip.com/
Akademik Patomer,+90 342 323 29 86,http://www.akademikpatomer.com/
Özel Mediantep Tıp Merkezi,+90 342 371 40 01,http://www.medianteptip.com/
Ozel Suzan Tip Merkezi,+90 342 323 47 80,http://www.ozkanaydinleylek.com.tr/
VIT PRIVATE MEDICAL CENTER LINE,+90 342 241 28 28,http://www.vitaline.com.tr/
Anka Hospital,+90 342 329 27 27,https://www.ankahastanesi.com/
Sani Konukoğlu Private Hospital,+90 342 211 50 00,https://sankohastanesi.com.tr/
Bossan Hospital,+90 342 236 00 36,http://www.bossanhospital.com/
Gazilab Medikal,+90 342 323 98 28,http://gazigazigrup.com/
Özel Düztepe Yaşam Hastanesi,+90 342 211 77 77,https://duztepeyasamhastanesi.com/
Özel Emek Hastanesi,+90 342 320 02 02,http://www.emekhastanesi.com/
Gazilab Medikal A.Ş,+90 531 454 10 82,http://www.gazigazigrup.com/http://www.gazilabmedikal.com.tr/
Tam-Med Ozel Hastanesi,+90 342 252 52 52,http://www.tam-med.com.tr/
Durmed Tibbi Cihazlar,+90 342 360 95 95,https://www.durmed.com.tr/
Kemal Bayındır Private Hospital,+90 342 360 27 27,http://www.ozelkemalbayindir.com/
Şifa Tıp Merkez,+90 358 213 05 00,http://www.firmasec.com/firma/kzrdm-sifa-tip-merkezi/
