Laptop Name,Current Price,MRP Price,Rating,Dedicated Graphic Memory Type,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Processor Generation,Processor Variant,Clock Speed,Cache,Number of Cores,Expandable Memory,RAM Frequency,Expandable SSD Capacity,Chipset,Memory Slots,RPM,Dedicated Graphic Memory Capacity,HDD Capacity,EMMC Storage Capacity,Cloud Storage
"AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop  (15.6 inch, Dark Grey)","16,990","33,990",3.6,DDR4,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,NA,,,,,,,,,,,,,,,
"CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 Laptop  (13.5 inch, Grey, 1340 g)","37,990","49,990",4.2,GDDR3,Intel,Core i3,Yes,512 GB,12 GB,LPDDR4,Intel Integrated Intel UHD Graphics,12th Gen,Intel Core i3-1215U,2.8GHz,10 MB,6,,,,,,,,,,
"HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","37,490","56,261",4.2,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1215U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",12 MB,6,16 GB,3200 MHz,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312W Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg)","28,990","44,990",4.3,,Intel,Core i3,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD,11th Gen,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,6,2,16,,2 TB,,,,,,,
"SAMSUNG Galaxy Book 2 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) NP550 Thin and Light Laptop  (15.6 Inch, Graphite, 1.80 Kg, With MS Office)","44,990","82,990",4.3,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1235U,1.3GHz up to 4.4GHz,,,,,,,,,,,,
"Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 Kg)","27,990","39,157",4.3,,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,AMD Radeon AMD,,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,8,,512 GB,,,,,,,
"Acer Aspire 3 14 Metal Body Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Pro) A314-36M Thin and Light Laptop  (14 Inch, Silver, 1.4 Kg)","31,990","45,999",NA,,Intel,Core i3,Yes,512 GB,8 GB,LPDDR5,Intel Integrated UHD,12th Gen,N305,Max Frequency Up to 3.8 GHz,,,,,,,,,,,,
"Lenovo IdeaPad Slim1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ACL7 Thin and Light Laptop  (39.62 cm, Cloud Grey, 1.65 kg, With MS Office)","36,480","57,890",4.2,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,11,6,12,,NA,,,,,,,
"ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thin and Light Laptop  (15.6 Inch, Blue, 1.76 Kg)","29,990","60,999",3.8,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1235U,Max Turbo Frequency upto 4.4GHz,,,64 GB,,,,,,,,,
"MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","37,990","64,990",4.3,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,,,,,,,,,,,,
