Hospital Name,About Hospital
University Hospital Charite Berlin,"University Hospital Charite Berlin is the largest university clinic in Berlin, with more than 300 years of history. It was established in 1710 by King Frederick I of Prussia and had four Berlin campuses. Charite University Clinic is divided into 17 departments, including more than 100 clinics and institutes. In total, the hospital has 20,900 employees from 119 nationalities. Moreover, University Hospital Charite Berlin has 682,731 outpatients and 123,793 full and partial inpatients a year, which means this hospital treats more patients than any other German university hospital. Furthermore, Hospital Charite Berlin became the first German medical faculty accredited in study and teaching in 2015. Nowadays, it prepares 9,030 students in the field of medicine. The University Hospital Charite Berlin is known for its scientific and clinical research, according to the European Research Council (ERC). The hospital has the top positions in national and international scientific rankings in neuroscience, immunology, oncology, cardiovascular and genetic research. Most German Nobel Prize winners for medicine and physiology come from Charite, including Robert Koch, Hermann Emil Fischer, Paul Ehrlich, Emil Adolf von Behring, Hans Spemann, and others. Moreover, The Charite Hospital cooperates with universities all over the world: Tongji Medical College Wuhan (China), Saitama Medical School (Japan), Johns Hopkins University School of Medicine (USA), etc. The patients get qualified medical help from experienced doctors at University Clinic Charite Berlin in various medical fields, from dentistry to neurosurgery. In addition, Charite Hospital specialists focus on people with cardiovascular, gastroenterological, tumor, and nephrological diseases. Furthermore, the hospital is engaged in traumatological and reconstructive medicine. Women and their children also get professional treatment in the perinatal center of Charite. Moreover, ophthalmology and otolaryngology are the focal points of the University Hospital Charite Berlin. The hospital is equipped with high-tech devices for each specialty, e. g. , proton therapy for eye tumors."
University Hospital Rechts der Isar Munich,"University Hospital Rechts der Isar of the Technical University (TUM) Munich was founded in 1834 as a part of Technical University Munich. It is the second-largest hospital in Munich, with a state-of-the-art approach to medical care. As a university hospital, it provides medical services following the latest standards and is involved in research activities to develop new frontiers of medicine. In particular, it is the biomedical research facility of Technical University Munich. The building itself is a modern steel and glass, formed by the comb-structure emphasizing gardens, including planted rooftops. There are more than 1,000 beds available for in-patient care, and 60,000 patients receive hospitalized care annually at University Hospital Rechts der Isar. In addition, around 250,000 patients receive outpatient care. The team consists of approximately 5,500 people (including 877 doctors) working in 30 departments and 20 interdisciplinary centers. One of the best features of the university hospital is the interdisciplinary centers, providing customized care for specific patients. For example, the Comprehensive Cancer Center Munich is one of Germany's 13 oncology centers of excellence, supported by German Cancer Aid. Some very advanced interventions were performed at this hospital, for example, the first-ever successful transplantation of both hands in 2008. University Hospital Rechts der Isar Munich covers a full range of modern medical branches for patients and functions as a training center for physicians and nursing personnel. Some of the most popular departments among international patients include the department of gynecology, obstetrics, mammology, breast center, department of hematology and oncology, the department of neurosurgery, neuro-oncology and vascular neurosurgery, the department of general, abdominal, thoracic, and endocrine surgery, etc. Furthermore, as a leading medical research and innovation facility, the hospital offers the latest diagnostic and treatment options."
University Hospital Frankfurt am Main,"University Hospital Frankfurt am Main of Goethe-University, has a close affiliation with Goethe-University, founded in 1914 with a medical faculty inside. Many of the hospital facilities are also rooted in the foundation of Johann Christian Senckenberg, which included a community hospital (founded in 1884). One of the Sachsenhausen City Hospital surgeons performed the world's first heart surgery in 1896. In addition, before the university was founded, there was already the Neurological Institute as a private foundation by Ludwig Edinger, the ""Friedrichsheim"" orthopedic clinic as a foundation of the ""Cripple Welfare Association"" – today's Department of adult and pediatric orthopedic – and the ""Braunfels'sche Annie Foundation"" as the nucleus of the modern Department of pediatric and adolescent medicine. The current University Hospital Frankfurt am Main of Goethe-University is the biggest hospital in Frankfurt am Main. In 2014, the hospital was renovated, and the design received the European Healthcare Design Award in 2017.   32 specialist clinics and clinical institutes and more than 20 research institutes comprise the hospital. More than 6,800 employees work in the hospital. The facility's total size is 425,000 m2, with 1496 inpatient beds, including day hospital places. The hospital provides medical care for 50,000 inpatients and 450,000 outpatients annually. The close interaction with non-university institutes and research centers was and is of great importance for the hospital, such as the cooperation with the ""Royal Institute for Experimental Therapy"", where Paul Ehrlich worked in 1899 and was awarded the Nobel Prize in Medicine in 1908 and discovered the first modern antimicrobial agent for treating syphilis.  The Frankfurt University Hospital works together with the medical faculty of Goethe University in Frankfurt. It is a regionally leading training provider and further education for doctors and healthcare professionals. In addition, 4,000 students receive their medical education in 14 lecture halls and across the departments. The hospital offers a full range of medical services in all medical specialties. The hospital departments include but are not limited to the University Center for Tumor Diseases (UCT), the department of general, visceral, transplant, and thoracic surgery, and diagnostic and interventional radiology. A particular focus is the treatment of severe and complex suits through interdisciplinary and intersectoral service offers."
Beta Clinic Bonn,"Beta Clinic Bonn was founded in 2008 as a specialist clinic for head and spinal diseases. Since then, the clinic has grown steadily. Today there is an entire Beta Clinic campus on the Bonner Bogen (a new office district on the riverside of the Rhine). The structure includes the main building, two additional buildings, more than 1,500 square meters each, and a BetaGenese Clinic for psychosomatics taking up equal space. The clinic offers excellent medical quality, sensitive individual care, and an aesthetically pleasing environment. In addition, one of the social commitment goals of the clinic is fulfilled in “Beta Humanitarian Help - Medical Aid for the Third World,” - a charity initiative aimed at providing medical care to the citizens of the poorest countries. The clinic operates with 20 specialties, 30 independent doctors, more than 220 employees, and other cooperation partners who provide top-quality diagnostics and treatment. Beta Clinic Bonn comprises more than 20 departments and covers all medical specialties. A significant advantage of the Beta Klinik Bonn is that appointments can be made at short notice. It is essential to act quickly, especially when the psychological strain is high. In addition, the patients expect well-timed appointments on-site, in private practices, without extended stays in the waiting room.  The clinic provides outpatient and inpatient surgical options and is equipped with a physiotherapy and rehabilitation center. The center has a complex quality management system and state-of-the-art medical technology at the university level.  The operating theatres, the intensive care unit, and the rehabilitation center meet the highest standards. This also applies to highly qualified doctors, therapists, and employees undergoing continuous training. The treatment spectrum includes traditional medical specialties that represent the following departments: the department of general surgery and proctology, the department of otolaryngology, and the department of dermatology and allergology. In addition to the standard treatment range, the clinic is famous for its highly specialized centers, such as the department of neurology with epilepsy center, sleep medicine and diagnostics, and the department of angiology and vascular surgery."
Helios Hospital Berlin-Buch,"Helios Hospital Berlin-Buch has existed for over 100 years. At the beginning of the last century, Buch was the largest and one of Europe's most modern welfare and care locations. In the 20th century, various institutions were established there. Today's clinic has belonged to Helios Hospital Group since 2001, and a modern main building was added in 2007. The hospital is in the middle of Berlin-Brandenburg, in the green northeast of Berlin in Pankow. Every year, more than 52,000 inpatients and over 144,000 outpatients are treated at the hospital by specialists with high medical and nursing standards in diagnostics and therapy. It is a modern maximum-care hospital with over 1,000 beds in more than 60 specialist departments, institutes, and centers, including an emergency center with a helipad. One of the prominent features of the clinic is a national referral center for Lutetium 177 therapy in prostate cancer and NETs tumors with multiple successful and worldwide reputations. The clinic has several certifications, including one from the German Cancer Society as an oncological center and one from the German Diabetes Society. High professional qualifications in medicine and nursing and the latest medical technology ensure the best possible patient care.  Due to the close cooperation between clinics, research institutions, and biotechnology companies on the Berlin-Buch campus, the patients benefit directly from top-class primary medical research results. A vast network of structural parts forms the hospital. Some are obesity, metabolic surgery (bariatric surgery), general, abdominal, and oncological surgery departments, orthopedics, traumatology, hand surgery, and ophthalmology departments. Doctors also treat metabolism diseases in angiology, diabetology, and endocrinology units. Additionally, interdisciplinary centers such as the breast center, the intestinal center, the perinatal center, the stroke unit, and the chest pain unit ensure comprehensive care and a holistic approach to treatment."
Rehabilitation Clinic Schmieder Heidelberg,"Rehabilitation Clinic Schmieder Heidelberg is a highly specialized medical center whose work aims to restore lost motor, cognitive, and speech functions in patients with central and peripheral nervous system diseases. The clinic is part of a rehabilitation center chain founded by Professor Friedrich Schmider in 1950. This is a motto of the center - “Never give up. ” Rehabilitation Clinic Schmieder Heidelberg includes a large early rehabilitation unit, a day hospital, and an academic teaching hospital at Heidelberg University. The clinic has several phase B beds with eight ventilation sites and monitoring. Treatment teams are doctors, therapists, nurses, and social workers. Rehabilitation Clinic Schmieder is well equipped (including robotic rehabilitation, transcranial magnetic stimulation, etc. ) and has high medical, therapeutic, and nursing care. More than 2000 patients are treated in the clinic annually. The medical team offers the entire spectrum of neurological rehabilitation - from phase A to phase E. Doctors treat patients of all severity and provide a full range of neurological services.  According to the authoritative magazine Focus, the clinic is one of the best medical facilities in Germany, specializing in the rehabilitation treatment of patients with neurological disorders.  Also, the highest quality of medical services provided in the clinic was awarded the prestigious German KTQ and IQMG certificates and Heidelberg University Hospital cooperation partnership.  Furthermore, the clinic is in demand among international patients, which confirms its authority in the global medical arena. The clinic offers more than ten special therapies available only in the best medical facilities. A competent interdisciplinary team of doctors and specially trained nursing staff does everything possible to make the patient believe in himself and the successful outcome of rehabilitation treatment."
Neurological Rehabilitation Centre Godeshohe Bonn,"Neurological Rehabilitation Center Godeshohe Bonn has over 30 years of experience in neurological rehabilitation and is large and one of the most advanced rehabilitation facilities in Germany. The clinic is located above Bonn Bad Godesberg, near the historical walls of the medieval Godesberg. The hospital offers an impressive panoramic view of the Rhine Valley and the Siebengebirge with Drachenfels and Petersberg. The rehabilitation center has a capacity of 400 beds and offers all the possibilities of neurological rehabilitation. The medical team uses a holistic approach for the best treatment - for the love of life. There is also a cafeteria, a kiosk with an open terrace, a library and Internet access, a ""silence room"", and a chaplain on the center's territory. The Neurological Rehabilitation Center Godeshohe greatly values first-class quality standards, state-of-the-art equipment, and well-trained staff.  Furthermore, the center guarantees impeccable medical care in all specialties thanks to close cooperation with the university hospitals in Bonn and Cologne. Particular attention is paid to patients with neurological diseases such as stroke, Parkinson's disease, spastic disorders, and movement disorders.  According to the prestigious Focus magazine, Neurological Rehabilitation Center, Godeshohe Bonn was recognized as one of the best in its field in Germany. Successful rehabilitation means a combination of first-class medical and therapeutic treatment, the assurance that the patient is in excellent hands, and a vibrant, friendly environment that allows patients to recharge their batteries while gazing out at nature's wide-open spaces. The entire center staff ensures patients feel comfortable and return to independent living as soon as possible."
Teknon Medical Centre Barcelona,"Teknon Medical Center Barcelona is one of the leading and famous hospitals in the private healthcare sector in Spain, thanks to the high quality of its medical and healthcare service in an environment that combines personalized attention with the support of the latest technology. Teknon is characterized by innovation and consistent implementation of the latest methods and technologies, achieved through the participation of specialists involved in research and development projects. Teknon is located in the heart of Barcelona, a desirable tourist destination internationally renowned for its many attractions, such as architecture, traditional cuisine, and Mediterranean climate. The medical center has 211 individual rooms, 19 deluxe rooms, and ten incubators.  The surgical block includes 20 operating rooms equipped with the most advanced technology, in which about 22,000 operations are performed annually.  In addition, Teknon Center has a day hospital for all those patients whose treatment does not require an overnight stay, 42 wards, and three outpatient surgical operating rooms.  Over 2,000 qualified employees, including 400 world-class specialists, provide high-quality medical services at the Teknon Clinic.  In the obstetric unit, 2100 children are born annually. The clinic's patients are world stars, famous Spanish politicians, and other public people.  Teknon doctors delivered Shakira's baby, operated on Andres Iniesta and Thomas Rohler, and provided stem cell therapy to FC Barcelona football players.  Teknon Medical Center is accredited by Joint Commission International, which confirms that the clinic adheres to strict quality standards and provides the highest quality and reliability services.  The clinic has a certificate of honor from the Government of Catalonia and the quality mark of the European Foundation for Quality Management.  Teknon also provides an international program through which more than 6,000 patients from 24 countries receive comprehensive treatment. The main areas of the medical center include general surgery, cancer treatment, cardiology, cardiovascular surgery, orthopedics and traumatology, and pediatrics. In addition, Teknon is a world-renowned center for regenerative medicine and stem cell therapy. The clinic also provides effective medical care to children with epilepsy. The center is equipped with modern equipment, such as a 120-plate linear accelerator, stereotactic radiotherapy devices, and devices for 3D surgery planning."
University Hospital Munster,"University Hospital Munster (UKM) is one of the country's most successful providers of ultimate care. The principle of the hospital is to constantly improve existing knowledge and practical skills and develop new methods of diagnosis and treatment. The medical team regularly participates in international exchange programs, congresses, and training events. The hospital contributes to the training of doctors and scientists, thus ensuring the continuous development of healthcare in Germany. Every year, the university hospital treats over 62,000 inpatients and 550,000 outpatients. The hospital employs approximately 11,500 people, making it the largest employer in the region. The largest professional groups are represented by the medical and technical service of almost 1,800 people and the nursing staff of more than 2,000 employees. The hospital has 1,500 beds, over 30 clinics, and numerous institutes and centers. European and international specialized organizations certified most departments of the hospital. For example, the gynecology and obstetrics departments are approved by UNICEF and WHO, while the German Cancer Society accredits the oncology department.  One of the priority treatment areas at the Münster Clinic is stem cell transplantation, bone marrow, and organ transplantation. University Hospital Munster is the first clinic in Germany where doctors use mechanical liver perfusion with oxygenated blood. Using this system gives doctors a unique opportunity to test the function of a donor organ before transplanting it into a recipient.  Every year, doctors successfully perform over a hundred kidney transplants, one of the highest success rates in the country. The medical team has exceptional experience treating the heart, nervous system, endocrine organs, and orthopedic and trauma diseases. The hospital includes the departments of ophthalmology, otolaryngology, pediatrics, neurosurgery, orthodontics, and periodontics. The treatment spectrum at the University Hospital Munster is comprehensive, including prevention, diagnosis, therapy, psychological care, and follow-up."
University Hospital Saarland Homburg,"University Hospital Saarland Homburg (UKS) was founded in 1947 under the sponsorship of the University of Nancy. The hospital offers high-quality medical care for both adults and children. Today, the entire spectrum of medicine is provided on campus, harmoniously immersed in greenery. In addition, UKS is leading in medical education, research, and patient care far beyond the Saarland. The hospital includes 30 specialized departments and 20 institutes. Every year more than 50,000 inpatients and 200,000 outpatients are treated at the clinic. The medical staff performs over 7,000 surgeries and procedures annually. A team of 600 doctors and about 2,000 nurses cares for patients' health in quality-certified interdisciplinary centers. The hospital has 1,200 beds in single and double rooms equipped with bathrooms, TV, and internet access. On the territory of the hospital, there is a pharmacy and a cafeteria that offers dishes for every taste. UKS offers cutting-edge research in an international network.  The hospital's world-renowned research forms the theoretical basis for future diagnostic and therapeutic procedures.  The hospital's departments have the most advanced equipment, including 1. 5T MRI, 64-slice computed tomography, and ultrasound diagnostic devices. Particular attention is paid to finding the cause of the disease.  As the primary and most specific area of expertise, doctors use extensive experience analyzing diseases' genetic causes, triggers, and modulators.  These analyses are performed at the Molecular Genetic Laboratory, part of the Faculty of Medicine II, and are accredited according to international standards. The key focus of the clinic is diagnosing and treating gastrointestinal tract diseases. The internal medicine department at the university hospital covers all care areas for patients with rare liver diseases, mainly genetic, autoimmune, and cholestatic diseases. Doctors also specialize in treating various organs' oncological, gynecological, urological, and surgical conditions. Treatment is carried out using innovative techniques following national and international guidelines. The medical staff creates a pleasant and friendly atmosphere for comfortable inpatient patient treatment."
